tweet,Sentimen
"2 Nenek Ini Tolak Bantuan Sembako Warga Miskin Pemerintah Saat Covid-19, Alasan Masih Bisa Kerja  http://dlvr.it/RWBj3P  pic.twitter.com/zeRkRvGgjD",Positif
"""Mereka ini patut dicontoh karena berupaya menyukseskan program pemerintah dalam memutus mata rantai penyebaran Covid-19""  https://akurat.co/news/id-1107996-read-pulang-dari-jakarta-ibu-dan-dua-anaknya-isolasi-diri-di-ladang …",Positif
"Sejak awal pemerintah menyepelekan covid-19, hingga akhirnya kita disuruh berdamai dengannya... 😰
 https://twitter.com/amat_bn/status/1258328349304221698?s=19 …",Negatif
"Saya ga akan berdamai dengan covid pak, saya tetap memerangi covid dengan protocol kesehatan WHO...

Memilih PSBB karena pemerintah ga mau memenuhi kebutuhan dasar masyarakat jika diterapkan Lockdown...itu semua sudah tau, tak usah ber retorika lagi...",Negatif
"Bgmn bisa turun kalau masy bnyk yg blm sadar dan pemerintah krg tegas. Belajar dg taiwan, krn kompak atr pemerintah dan masy covid-19 dpt ditangani dg wkt singkat.",Negatif
pemerintah ada orang dalam di covid,Negatif
"COVID-19
liat penanganan yg menurut saya masih kurang efektif. (menurut saya)
knp pemerintah ga ngadakan TES MASAL (benar² masal)? udah blm sih? kalo udah harusnya saya juga sudah dong. tapi saya belum. wkwk",Negatif
"Selama masa Pandemi COVID-19, pernahkah terpikir oleh Pemerintah Kabupaten Kepulauan Tanimbar (KKT) untuk memberi bantuan sembako bagi  para mahasiswa asal KKT yang sementara studi di luar daerah, semisal Ambon? Mahasiswa adalah aset SDM di masa mendatang. Mari peduli. #Himbauan",Negatif
"Semakin byk kita  bersahabat.. 
Hidup bahagia dan manfaat.. 
Saling  bantu & jg  sambat.. 
Untuk #IndonesiaHebat .. 
🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨
Mari bersama kita mencegah.. 
Covid-19 yg  sdg  mewabah.. 
Manut aturan pemerintah.. 
Tetap  tinggal  dirumah.. 
Covid-19 pasti punah.. 
👍
8⃣6⃣",Positif
Ambisi ibu kota baru ok tp knockdown ngak ok lihat grafik covid ngak turun2 jd pak menteri ingin herd immunity jahat bener pemerintah ini lebih sadis dr komunis RRC sj msh berperikemanusiaan lock down demi rakyat tdk tertular ini seenak udelnya herd immunity krn PSBB sdh gagal,Negatif
"Mba masalahnya ga semua orang bisa kayak gitu,ada org yg gampang terpengaruh,nah kalo dia terpengaruh trus ga mau ikut anjuran pemerintah trus kena covid dan nyebarin ke lingkungan terdekat gmn?",Positif
Pemerintah nih kayak ga niat bikin kebijakan bend the curve Covid 19.,Negatif
"Udah dititik bodo amat sama berita covid krn kalo ga gitu ntar kesel sendiri. Keputusan pemerintah yg ga kompak dan ga konsisten. Pfffff..

Sejujurnya aku jd pesimis kalo covid di Indonesia ini bakal cepet redanya.",Negatif
"Betul bung @NanangMas0384 persoalannya hanya terkadang pernyataan pemerintah membuat gaduh masyarakat dgn menggunakan bahasa"" yg kurang pas dipemahaman. 
Mari saling mendoakan, dukung pemerintah mengusir covid-19 di Indonesia 😄👍",Negatif
"Gw kemarin nonton Mardigu vell buat mutus rantai covid-19  https://youtu.be/-vBYxrIQ5ZY  daripada Pemerintah gini-gini aja, kapan landainya. Banyak yang sembuh memang prestasi, tapi yang tertular juga setiap harinya naik terus (?)",Negatif
"Ayo toh pda sadar diri untuk menghormati kebijakan pemerintah dalam membunuh covid-19... 
Berikan kesempatan ahli kesehatan untuk menanganinya

#Pemerintah harus tegas tidak berat sebelah dg memperhatikan aspek EPOLESOSBUDHANKAM",Positif
"Susah juga kalo pemerintah udah upaya ini itu demi MENEKAN angk covid tapi warganya ga mematuhi psbb, semoga ini cepat berlalu. I miss my friends, apalagi nagih kas 🤪",Positif
"Menag memberikan apresiasi kepada vihara-vihara dan umat Budha yang menyelenggarakan Waisak dengan sederhana, dan mematuhi anjuran pemerintah untuk tetap mengutakaman protokol kesehatan di tengah pandemi covid-19. 

 https://mediaindonesia.com/read/detail/310886-tri-suci-waisak-momentum-umat-budha-tingkatkan-kepedulian-sosial …",Positif
Nakheel terpaksa menutup sebagian besar malnya setelah pemerintah memberlakukan pembatasan di Dubai sebagai upaya untuk mengekang penyebaran Covid-19.  http://dlvr.it/RWBXq6 ,Positif
"Saya bukan ahli ekonomi, tetapi dengan logika sederhana saja bhw klu dikatakan terjd lonjakan angka kemiskinan akibat covid-19, mk hal itu sgat tdk beralasan. Sebab bagaimana mungkin dlm kurun waktu Maret-Mei terjd lonjakan angka kemiskinan? Lalu selama ini apa upaya pemerintah?",Negatif
"maksud dari thread aku cuma kasih perbedaan negara dlm menangani covid. malaysia itu udh duluan memiliki pasien covid tp jumlah nya sedikit dibanding indo (correct me if i’m wrong) udh tau pemerintah kita yg begini, anw pak mentri kesehatan dimane ya?kok gak pernah muncul hehe",Negatif
"Yayuk mengatakan, data penerima BST tersebut, telah diverifikasi Pemerintah pusat sebagai penerima bantuan akibat dampak pandemi Covid-19.",Positif
"Satu sisi tiap hari pemerintah update kasus Covid-19 yg terus bertambah, sisi lain pemerintah bikin kbijakan dan penerapan yg gitu-gitu..anomali? Mbuh kah dan au bingung dengan semua inii 😫😭 maka au putuskan hidup normal sperti biasa aja  https://twitter.com/e100ss/status/1258403072549609475 …",Negatif
"#infotoljorrs Ikuti Aturan Pemerintah Agar Cepat Berakhir Pandemi Covid 19, Biarlah kami yang bertugas Kalian Dirumah Saja #StayAtHome #tetapgunakanmasker @SonoraFM92 @RadioElshinta pic.twitter.com/YR8qCGfmga",Positif
"sedang dlm fase muak melihat, membaca, mendengar all about fcking covid-19. ditambah dg carut marutnya pemerintah yg semakin gak sinkron satu sm lain. solusi terbaik adlh menutup segala info yg masuk. fokus planning the best things kalo bisa mudik.",Negatif
masyarakat lore utara yang terdampak banjir bandang sangat memperhatikan anjuran dari pemerintah terkait penyebaran virus covid-19 saat ini untuk tidak berkumpul di posko pengungsian..,Positif
"Jadi gini.
Apa yang dilakukan pemerintah, sebetulnya sudah cukup baik, terlepas dari kamu pro/kontra dengan jokowi (karna cuma 2 kubu).

Initially, BNPB as the representation of the government announced that The Urgent Status of Covid-19 will be evaluated later on 29th of May",Positif
"Yukk bantu Pemerintah utk mendeteksi dan mencegah penyebaran pandemi COVID-19 dgn cara mengunduh dan menginstall aplikasi PeduliLindungi. 

#BersatuLawanCovid19
#PeduliLindungi
#StayAtHome
#DirumahAja
@pemkotbekasi
@KominfoBekasi
@RadioDakta
@radarbekasi
@InfoBekasi pic.twitter.com/2rS4Jqy0CB",Positif
Pa budi masih mau buka transportasi... yang di toko aja kena covid apalagi di luar. Coba renungkan baik2 pemerintah yang mengeluarkan regulasi yang dapat memdatangkan bahaya penyebaran covid bertambah.,Negatif
"Serius ini gua ngerasa aneh gitu lho , didata itu , yg meninggal karna Positif covid gaada sama sekali lho
Tapi PDP banyak , nah kalo dari pemerintah , PDP itu belum tentu covid kan",Negatif
"Ujung2nya duit..

sependapat dengan kalimat ini ""pemerintah tidak memiliki grand design penanganan pandemik Covid-19.

Implikasinya, semua yang dilakukan bersifat relatif, tidak terukur dan nihil dalam target pencapaian."" PAS!  https://twitter.com/fatih_aqsa/status/1258204754850705408 …",Negatif
"Happy Vesakh Day☸️
Sehubungan dengan himbauan dari pemerintah mengenai covid-19 
Kami Belum Bisa Menerima Tamu.",Positif
"Bila kebijakan PSBB
dijalankan dengan benar
Maka secara teori dalam waktu 1 bulan sudah bersih dari COVID 19

Namun banyak manusia positif covid yg masih berkeliaran meneriakan kelaparan
Akhirnya merusak kerja pemerintah menyelamatkan manusia

Akhirnya PSBB diperpanjang lagi  https://twitter.com/filatmi/status/1253443146240815105 …",Negatif
Pemerintah membuat kajian awal dalam menentukan kebijakan pemulihan ekonomi dari pandemi Covid-19.  http://dlvr.it/RWBQ9Z ,Positif
Ini namanya inkonsistensi.. Katanya darurat kok pemerintah mengizinkan seluruh moda transportasi ini jadi kaco dlm pencegahan covid - 19,Negatif
Carut marut penanganan dampak covid 19 hampir ke seluruh daerah di Indonesia dan sebagai rakyat kecil kami menilai pemerintah pusat telah gagal mengelola..,Negatif
"Soalnya Rakyat kecil bukan TKA China yg selalu di bela pemerintah Pa..!!  

Modus Baru Pemudik Nekat saat Pandemi Covid-19, Ngumpet dalam Truk Molen : Okezone Nasional  https://nasional.okezone.com/read/2020/05/06/337/2210245/modus-baru-pemudik-nekat-saat-pandemi-covid-19-ngumpet-dalam-truk-molen …",Negatif
"😂
mangtaf
ini era guru kencing beradab
k bwh nya smua hrs beradab
di masa bencana nas.
yg korup dead penalti titik
percayaken sm kebijaksanaan negara, bantu pemerintah mengatasi covid. dengan mengerahken semua sumber daya dan segenap kemampuan anak bangsa.",Negatif
"Mohon di koreksi lagi untk kbijakan pemerinth jk ingin menghentikn covid biar tdk berlarut larut mari larang semua akses kluar untk darat,laut,udara kcuali untk distribusi logistik urusan abdi negara atau pjabat itu tugas ya smntara online aj kyk anak skolah biar aman #pemerintah",Negatif
"Tarik ulur kebijakan moda transportasi, saya nilai seakan-akan pemerintah @BudiKaryaS  tidak serius atau tidak konsisten untuk menekan angka penyebaran covid-19 dan pemerintah seperti kebingungan??? 🤔
#IndonesiaMelawanCovid19
#tidakusahmudik
#dirumahsaja",Negatif
"jujur, drpd mengharap bantuan dr pemerintah atau dr presiden.. aku lebih mengharap pandemi covid-19 cepat selesai. biar bisa kembali beraktivitas tanpa was-was",Negatif
Kalau mau menghentikan covid itu ya mbok jangan tanggung tanggung jika di lockdown di lakuakn psbb seluruh ya abdi negara pemerintah juga jngn seenaknya kluar kmna mana bebas pke acara bisa lewat darat laut udara lagi mau kmna mlh ketularan di luar di bawa lagi k indo nanti,Negatif
"Juru Bicara Pemerintah untuk Penanganan Covid-19 Achmad Yurianto: Perkembangan penanganan Covid-19, Kamis 7 Mei 2020.

- Positif 12.776 orang (+338)
- Sembuh 2.381 orang (+64)
- Meninggal dunia 930 orang (+35)

@BNPB_Indonesia
#DengerinElshintaDiRumahAja pic.twitter.com/kiJFRiz1ox",Positif
"Ketauan Amies cuma ahli Ngebacrot

Dia sendiri awalnya bilang 1,1 jt warga Rutin Terima bansos dari Pemprov DKI

Dan 2,6 jt warga yg rentan berimbas covid-19 jd tanggung jawab Pemerintah Pusat.

Jebulnya Boong😁
Amies angkat tangan!
#SkandalAmiesPemprovDKI https://amp.kompas.com/megapolitan/read/2020/05/07/08075561/duduk-perkara-riwayat-bansos-dki-dari-janji-anies-hingga-keluhan-sri?__twitter_impression=true …",Negatif
"Kutoarjo, Purworejo. Ayo ojo Mudik Rewangi Pemerintah Cegah Covid 19#MudikTetapDilarang",Positif
"Kalo kita benar-benar disiplin dalam menerapkan setiap aturan dari WHO dalam kehidupan sehari-hari dan pemerintah bisa tegas dalam membuat kebijakan, gue yakin di bulan Juni kurva COVID-19 di Indonesia bisa menurun dan Agustus semua sudah kembali normal seperti sediakala.",Positif
@jokowi  Pak Presiden Indonesia  bagaimana kalau pemerintah membuat pasar online khusus pasar yang di tutup karena covid 19 itu sarana saya terimakasih pak,Positif
"Sobat #tanjungemas wabah Covid-19 belum berakhir.
Kini musim mudik tiba, himbauan pemerintah agar #tidakmudik dan #tidakpiknik adalah salah satu upaya untuk memutus rantai penyebaran Covid 19.
.
Sayangi keluarga di…  https://www.instagram.com/p/B_42w3IHD66/?igshid=1bdklb0jtzkve …",Positif
"Memerangi Covid-19 bukan hanya tanggung jawab pemerintah akan tetapi tanggung jawab bersama.
Mari patuhi Maklumat Kapolri dan Anjuran Pemerintah untuk hentikan penyebaran Covid-19

#BersatuCekalCovid19 pic.twitter.com/jOYkmrqRXN",Positif
"Sobat Jatim,  berikut ini peta sebaran COVID-19 di Jawa Timur s.d. hari ini Kamis  7  Mei 2020. 
Mari ikuti anjuran pemerintah untuk #dirumahsaja #WaspadaCOVID19
@KhofifahIP @EmilDardak @jatimcettar_ @KemenkesRI @dinkesjatim pic.twitter.com/mPOCXpcObt",Positif
"RT jokowi: Sampai ditemukannya vaksin yang efektif, kita harus hidup berdamai dengan Covid-19 untuk beberapa waktu ke depan.

Sejak awal pemerintah memilih kebijakan Pembatasan Sosial Berskala Besar, bukan lockdown. Dengan PSBB, masyarakat masih bisa ber…  pic.twitter.com/IN8LrDmzjo",Positif
"SAMPAI BOTAK KUTILAN PUN, Rasanya Tidak akan Beres Urusan Covid-19.
Bila Pemerintah Tidak Konsisten dalam Melaksakana Aturan (UU) yang Telah Dibuatnya.
Yang ada Malah Makin Kisruh dan Rusuh...  https://twitter.com/podoradong/status/1257989085840306177 …",Negatif
Akibat banyak kritik pada pemerintah pusat tentang penanganan covid corona  yang blunder gak jelas strateginya maka dikerahkan para buzzer untuk menyalahkan Gubernur Anies. Dasar gak mau ngaca.,Negatif
"Beberapa media sosial dipenuhi hujatan tentang penyaluran dana bantuan semasa pandemi covid ini. 
Gak henti-henti masyarakat menghujat pemerintah. 
Menyalahkan sebab ketidak puasan apa yang didapat tak sama dengan yang dijanjikan..

#AwasProvokasiSaatPandemi",Negatif
"Melihat kondisi lapangan saat ini serta kebijakan2 yang diambil oleh pemerintah, pandemi ini sampai akhir tahun gak akan berakhir, kecuali ditemukan vaksin yang bener2 bisa membunuh virus covid 19.",Negatif
"Kita paham pemerintah berusaha. Tp kita juga harus lbh paham seharusnya usahanya lebih dari itu, lbh singkron. Covid bkn virus pertama tp ada virus sbelumnya dan lbh bahaya, liat apa yg d lakukan pemerintah sblmnya harusnyaa mreka mencontohkan bkn menganggap remeh dr awal",Negatif
"Makin keblinger pemerintah , itu tandanya pemerintah gagal total /tidak bisa mengatasi pandemi covid yg ada di indonesia, jadi kesimpulannya warga disuruh cari selamat sendiri sendiri untuk menghindari covid",Negatif
"Misalnya: Mereka yg bekerja pada lembaga pemerintah atau swasta yg  menyelenggarakan kegiatan: pelayanan percepatan penanganan Covid-19; pelayanan pertahanan, keamanan, dan ketertiban umum, kesehatan, kebutuhan dasar,  pendukung layanan dasar, & pelayanan fungsi ekonomi penting.",Positif
"Huehue, kebijakan sk tidak sesuai dengan semangat pemerintah menahan laju penyebaran covid dan penghematan anggaran belanja pemerintah",Negatif
"ra nurut aturan pemerintah...yo weesss ...mdh2 as n
slamet bebas covid....
u yg lain hrs hati2 atau covid dpt",Positif
"Aplikasi PeduliLindungi adalah aplikasi milik Pemerintah yang bisa memberikan informasi resiko adanya virus COVID-19 di lingkungan sekitar kamu. Nah, diharapkan masyarakat dapat waspada untuk menggunakan masker, jaga jarak dan sebisa mungkin menghindari tempat-tempat tersebut.⁣",Positif
"pemerintah terus melakukan upaya untuk menurunkan angka pengangguran, dan menjaga UMKM agar tetap bertumbuh di tengah pandemi Covid-19 ini. Sektor UMKM dan Sektor Informal ini sangat besar Perannya dalam menggerakan Sektor riil.  pic.twitter.com/Rjq3D8PQyK",Positif
Bang Anies sedang di kambing hitamkan atas carut marutnya aturan dari pemerintah pusat dalam hal penanganan Covid 19.!!  https://twitter.com/kebijakananies/status/1258378632969383936 …,Negatif
"Ketua Tim Pakar Gugus Tugas Wiku Adisasmito mengatakan, pemerintah tengah menggodok kebijakan setelah pandemi COVID-19 yang diperkirakan selesai paling tidak Juni 2020.

 https://tirto.id/flvD ",Positif
"Malam sahabat, sesuai kesepakatan bersama Pemprov Papua dlm rangka pencegahan, pengendalian dan penanggulangan COVID-19, Pemerintah setempat melakukan pembatasan  keluar masuk orang dari dan keluar Provinsi Papua. (1)",Positif
6. Pihak swasta bantu pemerintah tangani covid either dengan gaji pegawainya yg diminta tinggal di rumah or CSRnya diberikan untuk membantu masyarakat terdampak atau strategi penangana covid lainnya.,Positif
"Setahu saya Pak Doni agak berbeda prinsip dg arus umum pemerintah. Beliau dari awal tahu betul bahayanya Covid-19, shg dlm setiap langkah selalu keselamatan masyarakat yg menjadi prioritas. Kebijakan inilah yg membuat gerah sebagian pejabat yg punya agenda lain.",Positif
"Maaf Pak tp rakyat sini ga bs ga d ksh peraturan yg abu2.Pemilu saya pilih bpk 2x. Tp sy kecewa. Tentunya tdk ada pemimpin yg sempurna,tp saya rasa pemerintah hrs lbh tegas soal Covid,spy kurva turun&ekonomi normal. Dlm hal membela kekebasan beragama minoritas jg bpk tdk tegas.",Negatif
"Trus kalo vaksin belum ketemu dan tes masal kurang masif, apakah artinya genetika masyarakat kita akan secara alami membentuk kekebalan untuk perang dengan covid dok?
Yg tentunya tanpa menunggu himbauan pemerintah.
Hehehe",Negatif
"Dgn mengatakan bahwa covid-19 itu cma teori konspirasi dan hanya sekedar ulah elite global serta menuntut pemerintah agar kegiatan bsa berjalan normal sprti biasanya, itu sma saja menyepelekan covid tsb",Positif
"kenapa bukan lock down? 
dan harus psbb. 

mungkin alasannya agar pemerintah lepas tanggung jawab atas semua kebutuhan masyarakat yg terdampak akibat dr penyebaran COVID-19 ini.. 
jika sya salah, mohon di coreksi.",Negatif
"Ngomongin BANSOS sejak bulan Maret dan di putuskan kebijakan bahwa mulai bulan April s/d Juni 2020 masing-masing warga negara yang terdampak Covid-19 berhak menerima 600rb/bulan.

Kenyataannya skrg sdh bulan Mei dan belum ada sama sekali itu BANSOS yang di janjikan pemerintah",Negatif
"Mengantisipasi dampak covid-19 itu tanggung jawab bersama; pemerintah, pengusaha, masyarakat. Mendag @A_Suparmanto minta masy ga panic buying, jg minta pemda2 mengawasi ketersediaan bapok dan kestabilan harga.. Nah saling berbagi info deh klo ada yg aneh https://m.liputan6.com/bisnis/read/4247363/jaga-harga-pangan-perlu-sinergi-pemerintah-dan-pengusaha …",Positif
"Inkonsistensi kebijakan Pemerintah krn tdk satu katanya K/L-BUMN-Pemda dgn Gugus Tugas Covid-19 yg sdh dibentuk, serta tdk koordinatifnya jajaran Kemenko dlm kebijakan pelaksanaan Program Ekonomi-Sosial penggunaan dana Rp 405 T sementara Kemenkeu kewalahan sediakan dananya.",Negatif
"Pemerintah Kabupaten Lebak, Banten menolak pemudik Lebaran 2020 dari wilayah zona merah penyebaran COVID-19. #Corona  https://m.jpnn.com/news/pemkab-lebak-tolak-pemudik-dari-zona-merah-covid-19 …",Positif
Giat bhabinkamtibmas polsek mandau melaksanakan sebar maklumat kapolri mengenai kepatuhan terhadap kebijakan pemerintah  dalam penanganan penyebaran virus corona (covid-19) Kamis 07 mei 2020.  pic.twitter.com/cc6Yqeu5NR,Positif
dukungan untuk kebijakan pemerintah menghadapi pandemik covid-19,Positif
"Fren kita, Jatam beserta jaringan akar rumput, secara tegas meminta pemerintah untuk menghentikan sementara seluruh operasi tambang dengan acuan Pasal 113 ayat (1) huruf (a) UU Minerba No 4 Tahun 2009. 

Darurat Covid-19, Bekukan Seluruh Aktivitas Tambang  https://coklektif.com/darurat-covid-19-bekukan-seluruh-aktivitas-tambang/ …",Negatif
Isu penistaan agama ramai sekali diperbincangkan ditengah kegagalan pemerintah melawan pandemi Covid-19.,Negatif
"Bersama Pemerintah Desa Sidomukti, Polsek Kepohbaru Gelar Razia Covid-19  http://dlvr.it/RWB5m9  pic.twitter.com/xHD2XxTGHL",Positif
"Knp ya isu"" seperti ini banyak digoreng ditengah kegagalan pemerintah melawan pandemi Covid-19? Dan kegagalan pemerintah mensejahterakan rakyatnya?
Ada yg tau?",Negatif
"Mas mohon maaf sebelumnya, semua org terpengaruh media. Dan media termasuk pemerintah patuhnya pada WHO. Tragedi Panik yg dialami bukan sebab WHO, Sebab Media. Menurut mas berlebihan ga ? Media memberitakan corona (covid-19) nonstop di televisi.",Negatif
"Sy mengucapkan bnyak terima kasih atas usaha dn kerja keras pemerintah menangani covid 19 ini,  semoga secepatnya covid 19 berlalu dri negeri ini,  

Tpi perlu yg hrs diperhatikan pak presiden,  sudah 2 bulan masyarakat tidak melakukan aktifitas dlm mencari nafkah,  https://twitter.com/jokowi/status/1258004302527778819 …",Negatif
"Cobalah perintah pusat pake akal sehat kalau nggak bisa pake hati nurani, masa ditengah wabah covid 19 dan seriusnya pemerintah daerah memberantasnya, masih aja membuka kiriman TKA asal China, Chinakan sumber covid 19, wajar kalu pada Demo  pic.twitter.com/ZgcGw9CIUj",Negatif
"Mendag @A_Suparmanto : pemerintah menyadari antisipasi dampak penyebaran virus covid-19 adalah tanggung jawab bersama yang memerlukan sinergi dan kerja sama dari berbagai pihak, baik pemerintah, pelaku usaha terkait bahan pokok, maupun masyarakat.

 https://www.liputan6.com/bisnis/read/4247363/jaga-harga-pangan-perlu-sinergi-pemerintah-dan-pengusaha …",Positif
"Semoga Perjuangan para penggali makam dengan protokol covid-19 ini menambah kesadaran kita untuk lebih sadar melaksanakan Protokol Penanganan Covid-19 Pemerintah.

Terimakasih Atas Segala Bhaktimu para pahlawan kemanusiaan.  pic.twitter.com/yXRbdzBeOc",Positif
Potensi negatif covid 19 namun istri positif sudah diantisipasi pemerintah sepertinya🤣  pic.twitter.com/OQSEDLo2LZ,Positif
"Makin hari makin bertambah pasien positif covid-19, rasa takut dari manusia nya sangat kurang sekali yang padahal seharusnya wabah ini bisa segera berakhir. Cara demi cara sudah di lakukan tetapi balik lagi dgn kelabilan pemerintah yang membuat peraturan tidak sesuai.",Negatif
Jkw menekankan konsep dasar beda mudik&pulkam secara timeframe maupun harfiah. Najwa bicara lebih ke praktikal bahwa keduanya itu sama dlm kerangka berfikir penyebaran COVID. Apanya yg membuatmu berfikir NS tendensius? Hanya karena dia tdk sepakat dgn pemerintah?,Negatif
"Presiden Joko widodo mengatakan, pemerintah terus menerus berupaya keras untuk berharap puncak pandemi virus corona (Covid-19) segera menurun.  https://bit.ly/2zkNTsx  #BerdamaiDgnCorona",Positif
"Setiap hari berita Covid-19 berjalan terus dan bertamba terus yang positif

tapi kemana berita langkah pemerintah selain narasi dan menyuruh dirumah saja?

apa anda kerja untuk bicara dan memberi semangat saja??? guru pun bisa seperti itu

tapi kita rakyat nunggu kerja nyata anda",Negatif
"Terimakasih atas informasinya ,Yuk ikuti imbauan pemerintah untuk memutus rantai penyebaran COVID-19 #TemanFutuready",Positif
"Orang yang terinfeksi covid gak semuanya menunjukkan gejala mbakyu, itu namanya OTG (orang tanpa gejala). Makanya anjuran pemerintah diikuti utk stay at home & physical distancing. Paham yaaaa",Positif
"Para stakeholder sdg jalankan tugas menanggulangi wabah COVID 19, tinggal kita warga @kotaSUBANG @PemkabSubang ikut brperan dgn:
 1.Ikuti semua arahan pemerintah; 
2. Berbagi rezeki dgn tetangga yg terdampak scr ekonomi.
3. Berdo'a dipuncak malam Ramadhan agar wabah sgr berlalu.",Positif
"Lockdown pun !! laju covid masih tinggi, apalagi cuma PSBB yang kepala gugus tugas nya ga berdaya melihat kelakuan mentri dan jajaran pemerintah saling mengluarkan pernyataan yang tak singkron dengn keadaan",Negatif
"Mari bekerja sama dan dukung pemerintah demi keamanan dan kebaikan seluruh rakyat dalam menghadapi pandemic covid-19
#BerdamaiDgnCorona",Positif
"Pemerintah harus Pro Aktif melakukan Test RAPID PCR secara MASIF. Agar dapat menemukan kasus Covid-19 secara dini, dan menekan transmisi pasien positif ke orang lain.

#NasionalisSpiritual",Positif
"emang ini udah saatnya ""berdamai dengan covid-19""? atau dari awal emang pemerintah maunya damai aja sama covid-19? sekarang pelan2 semua udah mulai normal padahal angka kasus masih gitu2 aja. ini langkah awal perdamaiannya?",Negatif
"Sampai ditemukannya vaksin yang efektif, kita harus hidup berdamai dengan Covid-19 untuk beberapa waktu ke depan.

Sejak awal pemerintah memilih kebijakan Pembatasan Sosial Berskala Besar, bukan lockdown. Dengan PSBB, masyarakat masih bisa beraktivitas, tetapi dibatasi.",Positif
"Covid-19 murni krisis kesehatan yang harus diatasi secara kolektif oleh semua pihak, tidak hanya pemerintah, namun butuh kontribusi pihak swasta dan seluruh elemen masyarakat

Prof. H. M. Tito Karnavian, Ph.D.
Menteri Dalam Negeri RI  pic.twitter.com/DbDxhV8QUr",Positif
"Patuhilah anjuran pemerintah untuk #TIDAK MUDIK guna mencegah penyebaran virus Corona covid 19
#AllAboutJogja
#LebihBaikDiRumahAja pic.twitter.com/e4kSZGaHgg",Positif
"#GotongRoyong menumpas pandemi COVID-19 adalah hasil dari disiplin individu yang menjadi kedisiplinan kolektif.

Yuk kita semua mematuhi aturan pemerintah, tidak menstigmatisasi, mendukung isolasi, serta jujur pada tenaga medis. 

 https://m.cnnindonesia.com/nasional/20200506165207-20-500812/pemerintah-pasien-corona-tak-jujur-penyebab-dokter-meninggal …",Positif
"New post: Lion Air Group Terbang Lagi saat Covid-19, Pemerintah Mencla-mencle & tak Berdaya dengan Taipan  http://suaranasional.com/2020/05/07/lion-air-group-terbang-lagi-saat-covid-19-pemerintah-mencla-mencle-tak-berdaya-dengan-taipan/ …",Negatif
Patroli sabhara menghimbau pengunjung pertokoan mematuhi anjuran pemerintah jaga jarak dan pakai masker guna mencegah penyebaran covid-19.  pic.twitter.com/bmNYzhPS4e,Positif
